asset_id,date,total_attendance,total_tickets_sold,total_capacity,avg_uptime_hours,avg_downtime_hours,utilization_rate,sales_conversion_rate,loyalty_members_visited,avg_length_of_stay
Aquarabia,2025-01-01 00:00:00+00:00,45272,48747,52900,5.6,2.5,0.86,0.92,14,9.7
Aquarabia,2025-01-02 00:00:00+00:00,45878,49920,52900,5.3,2.1,0.87,0.94,13,7.7
Aquarabia,2025-01-03 00:00:00+00:00,52900,52900,52900,5.3,2.4,1.0,1.0,8,8.8
Aquarabia,2025-01-04 00:00:00+00:00,46039,50076,52900,6.8,2.1,0.87,0.95,13,5.9
Aquarabia,2025-01-05 00:00:00+00:00,50950,52108,52900,4.8,2.4,0.96,0.99,9,6.2
Aquarabia,2025-01-06 00:00:00+00:00,46816,49874,52900,4.6,2.8,0.88,0.94,20,9.3
Aquarabia,2025-01-07 00:00:00+00:00,35117,43759,52900,6.0,2.4,0.66,0.83,15,7.5
Aquarabia,2025-01-08 00:00:00+00:00,33488,43160,52900,5.8,2.6,0.63,0.82,7,9.8
Aquarabia,2025-01-09 00:00:00+00:00,33197,41539,52900,5.9,2.4,0.63,0.79,19,5.5
Aquarabia,2025-01-10 00:00:00+00:00,51707,52436,52900,6.6,2.0,0.98,0.99,17,3.6
Aquarabia,2025-01-11 00:00:00+00:00,47557,50575,52900,4.8,2.6,0.9,0.96,10,4.9
Aquarabia,2025-01-12 00:00:00+00:00,51906,52384,52900,6.4,2.1,0.98,0.99,10,3.3
Aquarabia,2025-01-13 00:00:00+00:00,52900,52900,52900,6.3,2.7,1.0,1.0,8,10.0
Aquarabia,2025-01-14 00:00:00+00:00,34757,43260,52900,5.7,2.7,0.66,0.82,13,6.9
Aquarabia,2025-01-15 00:00:00+00:00,45390,47854,52900,5.4,2.8,0.86,0.9,17,5.8
Aquarabia,2025-01-16 00:00:00+00:00,52900,52900,52900,5.5,2.4,1.0,1.0,14,8.3
Aquarabia,2025-01-17 00:00:00+00:00,52900,52900,52900,5.2,2.8,1.0,1.0,16,6.7
Aquarabia,2025-01-18 00:00:00+00:00,43862,47224,52900,5.0,2.7,0.83,0.89,7,7.2
Aquarabia,2025-01-19 00:00:00+00:00,42532,47629,52900,5.6,2.4,0.8,0.9,14,8.9
Aquarabia,2025-01-20 00:00:00+00:00,52900,52900,52900,5.8,2.8,1.0,1.0,19,7.0
Aquarabia,2025-01-21 00:00:00+00:00,52900,52900,52900,5.7,2.2,1.0,1.0,17,9.1
Aquarabia,2025-01-22 00:00:00+00:00,41704,47598,52900,6.3,2.6,0.79,0.9,14,9.7
Aquarabia,2025-01-23 00:00:00+00:00,49090,50950,52900,5.4,2.1,0.93,0.96,11,6.4
Aquarabia,2025-01-24 00:00:00+00:00,49289,50884,52900,5.8,2.7,0.93,0.96,8,6.5
Aquarabia,2025-01-25 00:00:00+00:00,43562,47077,52900,5.3,2.3,0.82,0.89,5,4.4
Aquarabia,2025-01-26 00:00:00+00:00,52900,52900,52900,7.1,2.0,1.0,1.0,20,4.2
Aquarabia,2025-01-27 00:00:00+00:00,46743,50110,52900,4.7,2.9,0.88,0.95,19,8.8
Aquarabia,2025-01-28 00:00:00+00:00,31113,45288,52900,5.1,2.5,0.59,0.86,15,6.8
Aquarabia,2025-01-29 00:00:00+00:00,41441,45433,52900,5.9,1.8,0.78,0.86,5,5.8
Aquarabia,2025-01-30 00:00:00+00:00,52840,52872,52900,4.5,2.6,1.0,1.0,20,7.6
Aquarabia,2025-01-31 00:00:00+00:00,48394,51194,52900,6.4,2.2,0.91,0.97,11,5.2
Aquarabia,2025-02-01 00:00:00+00:00,52900,52900,52900,5.4,2.5,1.0,1.0,15,6.3
Aquarabia,2025-02-02 00:00:00+00:00,52900,52900,52900,5.1,3.0,1.0,1.0,11,8.6
Aquarabia,2025-02-03 00:00:00+00:00,43337,47878,52900,6.5,1.6,0.82,0.91,10,5.8
Aquarabia,2025-02-04 00:00:00+00:00,49833,51697,52900,4.0,2.9,0.94,0.98,13,8.1
Aquarabia,2025-02-05 00:00:00+00:00,30482,40841,52900,4.5,2.8,0.58,0.77,13,8.3
Aquarabia,2025-02-06 00:00:00+00:00,33616,41037,52900,6.2,2.9,0.64,0.78,10,4.8
Aquarabia,2025-02-07 00:00:00+00:00,52900,52900,52900,5.8,2.9,1.0,1.0,18,7.9
Aquarabia,2025-02-08 00:00:00+00:00,48837,51201,52900,6.3,2.1,0.92,0.97,6,9.0
Aquarabia,2025-02-09 00:00:00+00:00,38513,46631,52900,5.6,2.7,0.73,0.88,8,3.5
Aquarabia,2025-02-10 00:00:00+00:00,52900,52900,52900,5.0,2.5,1.0,1.0,19,8.3
Aquarabia,2025-02-11 00:00:00+00:00,37418,43586,52900,5.4,2.8,0.71,0.82,17,4.5
Aquarabia,2025-02-12 00:00:00+00:00,52900,52900,52900,5.3,2.3,1.0,1.0,6,9.5
Aquarabia,2025-02-13 00:00:00+00:00,48396,51114,52900,4.7,2.9,0.91,0.97,14,9.6
Aquarabia,2025-02-14 00:00:00+00:00,45745,50049,52900,5.3,2.1,0.86,0.95,6,7.8
Aquarabia,2025-02-15 00:00:00+00:00,41975,47340,52900,5.0,3.1,0.79,0.89,11,6.7
Aquarabia,2025-02-16 00:00:00+00:00,32420,40773,52900,5.5,2.3,0.61,0.77,9,6.3
Aquarabia,2025-02-17 00:00:00+00:00,52900,52900,52900,5.7,2.0,1.0,1.0,13,8.2
Aquarabia,2025-02-18 00:00:00+00:00,47760,50349,52900,6.5,2.4,0.9,0.95,10,5.2
Aquarabia,2025-02-19 00:00:00+00:00,32462,39959,52900,4.9,2.9,0.61,0.76,9,5.7
Aquarabia,2025-02-20 00:00:00+00:00,52900,52900,52900,4.8,2.5,1.0,1.0,8,9.3
Aquarabia,2025-02-21 00:00:00+00:00,52107,52637,52900,5.1,2.6,0.99,1.0,20,3.3
