date,asset_id,campaign,campaignId,total_reach,total_engagements,total_conversions,aggregate_conversion_rate,platforms_instagram_reach,platforms_instagram_conversion_rate,platforms_tiktok_reach,platforms_tiktok_conversion_rate,platforms_youtube_reach,platforms_youtube_conversion_rate,platforms_facebook_reach,platforms_facebook_conversion_rate
2024-01-01 00:00:00+00:00,Aquarabia,New Year Awareness,0,32308,2111,106,0.33,9839,3.49,6644,3.71,9010,1.97,4105,2.91
2024-01-01 00:00:00+00:00,Six Flags,New Year Awareness,0,16852,1981,113,0.67,5064,2.67,3885,3.42,4452,2.48,2737,3.49
2024-01-02 00:00:00+00:00,Six Flags,New Year Awareness,0,26472,2115,116,0.44,9039,3.48,7859,3.34,5321,2.13,5058,2.82
2024-01-02 00:00:00+00:00,Aquarabia,New Year Awareness,0,17560,1538,113,0.64,5818,2.72,3737,3.22,4968,2.51,2768,2.59
2024-01-03 00:00:00+00:00,Aquarabia,New Year Awareness,0,31873,1417,92,0.29,10620,3.14,8799,3.27,9089,1.82,5860,2.7
2024-01-03 00:00:00+00:00,Six Flags,New Year Awareness,0,27489,2087,114,0.41,9574,3.38,6462,3.47,7631,2.37,3530,3.18
2024-01-04 00:00:00+00:00,Aquarabia,New Year Awareness,0,24595,1509,65,0.26,6508,3.06,5749,3.65,7241,2.56,2547,2.62
2024-01-04 00:00:00+00:00,Six Flags,New Year Awareness,0,24825,1214,68,0.27,7455,3.21,6619,3.31,5137,1.87,2975,3.29
2024-01-05 00:00:00+00:00,Six Flags,New Year Awareness,0,15262,1436,70,0.46,5096,2.57,4442,3.75,4545,2.28,2433,3.18
2024-01-05 00:00:00+00:00,Aquarabia,New Year Awareness,0,25687,1654,75,0.29,7434,2.77,7402,3.79,5484,2.3,3826,2.54
2024-01-06 00:00:00+00:00,Six Flags,New Year Awareness,0,15610,1778,89,0.57,4572,2.81,4416,3.22,3259,2.15,2077,3.23
2024-01-06 00:00:00+00:00,Aquarabia,New Year Awareness,0,19253,2364,90,0.47,5135,2.84,4178,3.65,4184,2.07,2016,3.08
2024-01-07 00:00:00+00:00,Aquarabia,New Year Awareness,0,16920,2097,61,0.36,5615,2.86,4424,3.59,4702,2.33,1734,3.39
2024-01-07 00:00:00+00:00,Six Flags,New Year Awareness,0,34296,2441,98,0.29,8574,2.95,8740,3.14,10135,2.59,4649,2.66
2024-01-08 00:00:00+00:00,Aquarabia,New Year Awareness,0,16377,2424,117,0.71,5338,3.31,4805,3.45,4431,2.47,2104,2.78
2024-01-08 00:00:00+00:00,Six Flags,New Year Awareness,0,31193,2138,83,0.27,9519,2.76,8106,3.51,6322,2.02,3509,2.59
2024-01-09 00:00:00+00:00,Six Flags,New Year Awareness,0,24220,1089,57,0.24,6603,3.13,5818,3.05,5684,2.15,4556,2.76
2024-01-09 00:00:00+00:00,Aquarabia,New Year Awareness,0,23714,2459,84,0.35,6822,3.4,6836,3.6,5044,2.17,4715,3.23
2024-01-10 00:00:00+00:00,Aquarabia,New Year Awareness,0,17584,1172,63,0.36,5208,2.85,5003,3.55,5025,2.29,2780,3.22
2024-01-10 00:00:00+00:00,Six Flags,New Year Awareness,0,20846,1859,98,0.47,5790,3.25,4802,3.31,5618,2.07,4040,3.31
2024-01-11 00:00:00+00:00,Aquarabia,New Year Awareness,0,24071,2354,104,0.43,7842,3.37,7203,3.39,6138,2.52,4433,3.21
2024-01-11 00:00:00+00:00,Six Flags,New Year Awareness,0,32005,1677,86,0.27,8332,2.75,8118,3.14,6910,1.97,4485,2.65
2024-01-12 00:00:00+00:00,Six Flags,New Year Awareness,0,32314,1188,86,0.27,9802,2.69,8583,3.46,7863,2.17,3567,3.15
2024-01-12 00:00:00+00:00,Aquarabia,New Year Awareness,0,32150,1769,91,0.28,9052,3.19,7661,3.42,6789,2.58,3517,3.08
2024-01-13 00:00:00+00:00,Six Flags,New Year Awareness,0,17151,1528,110,0.64,5435,2.86,3599,3.46,4388,2.31,2477,2.99
2024-01-13 00:00:00+00:00,Aquarabia,New Year Awareness,0,17957,1340,54,0.3,5983,3.43,4253,3.75,4072,2.53,3345,3.24
2024-01-14 00:00:00+00:00,Aquarabia,New Year Awareness,0,28523,2281,68,0.24,9040,3.3,8204,3.08,7746,1.97,4483,2.95
2024-01-14 00:00:00+00:00,Six Flags,New Year Awareness,0,28318,1681,57,0.2,8069,3.42,6641,3.14,6995,2.14,4516,3.16
2024-01-15 00:00:00+00:00,Aquarabia,New Year Awareness,0,23498,1374,112,0.48,6213,3.25,5042,3.14,6225,2.4,4599,3.37
2024-01-15 00:00:00+00:00,Six Flags,New Year Awareness,0,26998,1121,66,0.24,6917,3.01,7352,3.55,7598,2.42,3142,3.15
2024-01-16 00:00:00+00:00,Aquarabia,New Year Awareness,0,16536,2345,53,0.32,4366,2.66,3732,3.42,4058,2.44,2892,2.63
2024-01-16 00:00:00+00:00,Six Flags,New Year Awareness,0,18487,1009,110,0.6,6053,2.73,5133,3.09,5197,2.49,3341,2.64
2024-01-17 00:00:00+00:00,Six Flags,New Year Awareness,0,33955,1290,84,0.25,11757,3.2,7379,3.09,9991,2.31,3431,3.26
2024-01-17 00:00:00+00:00,Aquarabia,New Year Awareness,0,34292,1861,91,0.27,11881,2.72,9486,3.52,8598,2.3,3621,3.12
2024-01-18 00:00:00+00:00,Six Flags,New Year Awareness,0,21553,1485,107,0.5,7323,3.16,4664,3.75,5748,2.53,3448,2.59
2024-01-18 00:00:00+00:00,Aquarabia,New Year Awareness,0,15496,2168,92,0.59,4424,3.13,4438,3.3,4082,2.27,2947,2.8
