date,asset_id,feedback_count,very_dissatisfied,dissatisfied,neutral,satisfied,very_satisfied,average_score,intention_to_revisit,intention_to_recommend,complaints_customer_service,complaints_cleanliness,complaints_ride_safety,complaints_wait_times,complaints_technical_issues,complaints_other
2025-01-01 00:00:00+00:00,Aquarabia,8440,1671,2878,3821,47,23,3.67,81.98,84.29,0,1,1,0,0,0
2025-01-01 00:00:00+00:00,Six Flags,3803,704,1335,1697,38,29,4.15,80.99,78.85,0,0,0,2,0,0
2025-01-02 00:00:00+00:00,Aquarabia,4568,1023,1318,2175,36,16,4.01,81.45,76.4,0,0,1,0,0,0
2025-01-02 00:00:00+00:00,Six Flags,7636,1321,2698,3577,28,12,3.86,82.81,79.54,0,0,0,0,3,0
2025-01-03 00:00:00+00:00,Aquarabia,3771,895,1096,1747,23,10,4.2,80.98,75.9,0,0,1,0,0,1
2025-01-03 00:00:00+00:00,Six Flags,5723,721,2024,2943,27,8,3.89,78.08,77.73,0,0,0,0,0,0
2025-01-04 00:00:00+00:00,Aquarabia,6190,1332,1685,3149,16,8,3.91,75.62,76.92,0,1,0,1,1,0
2025-01-04 00:00:00+00:00,Six Flags,4955,491,1569,2872,17,6,3.84,77.83,79.73,0,0,1,0,0,0
2025-01-05 00:00:00+00:00,Six Flags,6759,1153,1970,3610,18,8,3.79,78.97,81.32,0,0,0,0,0,0
2025-01-05 00:00:00+00:00,Aquarabia,5335,592,2067,2656,14,6,3.91,76.29,83.21,1,1,0,0,1,0
2025-01-06 00:00:00+00:00,Aquarabia,3948,652,1324,1936,24,12,4.12,77.79,80.15,0,0,0,1,0,0
2025-01-06 00:00:00+00:00,Six Flags,6129,592,2021,3475,25,16,3.94,83.02,83.09,0,0,0,0,0,0
2025-01-07 00:00:00+00:00,Aquarabia,5003,837,1744,2389,20,13,3.83,75.39,77.54,1,0,1,0,0,0
2025-01-07 00:00:00+00:00,Six Flags,4555,1136,1509,1874,24,12,4.16,76.11,83.49,0,0,0,0,0,0
2025-01-08 00:00:00+00:00,Aquarabia,6766,1142,1961,3636,17,10,3.91,80.06,82.12,0,1,0,1,0,0
2025-01-08 00:00:00+00:00,Six Flags,4145,519,1414,2190,13,9,4.23,78.93,76.26,0,1,1,0,0,1
2025-01-09 00:00:00+00:00,Aquarabia,6111,926,2113,3039,21,12,3.83,83.17,77.15,0,0,0,0,1,1
2025-01-09 00:00:00+00:00,Six Flags,3724,457,1549,1687,20,11,4.23,79.6,76.27,0,0,0,0,1,2
2025-01-10 00:00:00+00:00,Six Flags,5461,1180,1864,2394,15,8,3.97,80.13,77.4,0,0,0,0,0,1
2025-01-10 00:00:00+00:00,Aquarabia,3385,621,1075,1672,12,5,4.29,76.92,75.14,0,0,0,1,1,0
2025-01-11 00:00:00+00:00,Aquarabia,6911,1019,2464,3406,15,7,3.95,83.96,77.34,0,0,0,0,0,1
2025-01-11 00:00:00+00:00,Six Flags,5525,740,1734,3028,14,9,3.81,82.68,79.49,0,0,0,0,0,0
2025-01-12 00:00:00+00:00,Aquarabia,7030,1455,2679,2879,12,5,3.9,77.15,81.19,0,0,0,0,0,0
2025-01-12 00:00:00+00:00,Six Flags,4343,509,1531,2281,13,9,4.21,82.61,75.01,0,0,0,0,0,1
2025-01-13 00:00:00+00:00,Aquarabia,4586,810,1714,2044,13,5,4.17,76.93,81.75,0,0,0,0,1,0
2025-01-13 00:00:00+00:00,Six Flags,4951,760,2061,2106,18,6,3.91,79.66,84.36,0,0,1,0,0,0
2025-01-14 00:00:00+00:00,Six Flags,6357,1301,2155,2867,19,15,4.05,75.65,77.94,0,0,0,0,0,0
