year,month,asset_id,admissions_revenue,fnb_revenue,sponsorship_revenue,other_revenue,cost_of_sales_fnb,cost_of_sales_retail,cost_of_sales_other,payroll_cost,cost_of_sales_marketing,other_expenses,capex,net_cash_outflow
2025,1,Aquarabia,47292306.82,7244624.71,183147.03,8650323.21,2710983.42,2612636.2,1055678.0,910135.59,475067.79,321917.37,0.0,-55283983.4
2025,1,Six Flags,44112336.93,8916101.57,240437.5,8550134.64,3295254.53,1748927.18,902117.07,898451.37,469225.69,318266.05,0.0,-54186768.75
2025,2,Aquarabia,37018440.59,10420485.96,238953.68,4628406.58,5034667.84,936263.0,670251.53,858726.76,449363.38,305852.11,0.0,-44051162.19
2025,2,Six Flags,35526794.9,9193724.32,270338.73,4246781.66,3357030.55,1199392.9,482429.89,865558.88,452779.44,307987.15,0.0,-42572460.8
2025,3,Aquarabia,47852098.06,14230545.86,275922.94,7370363.73,5830965.49,2528064.97,796562.57,930715.32,485357.66,328348.54,0.0,-58828916.04
2025,3,Six Flags,54263010.09,10516376.51,234518.46,7837595.57,4450373.6,2620132.23,1522671.88,949649.57,494824.78,334265.49,0.0,-62479583.08
2025,4,Aquarabia,25481286.63,6750920.17,336886.17,3294027.04,3065360.2,766570.87,417874.9,660669.84,350334.92,243959.33,0.0,-30358349.95
2025,4,Six Flags,28279192.11,7946736.74,306287.42,3081219.21,3552396.64,628669.37,466205.3,678532.36,359266.18,249541.36,0.0,-33678824.27
2025,5,Aquarabia,20476406.92,4428619.87,207451.46,2194639.38,1790726.29,600112.76,278744.02,547767.72,293883.86,208677.41,0.0,-23587205.57
2025,5,Six Flags,19999967.55,4952038.48,304105.91,2637857.37,2241046.72,591654.01,352499.51,574857.9,307428.95,217143.09,0.0,-23609339.13
2025,6,Aquarabia,50713769.22,14503905.69,413369.94,6617204.3,6125481.12,2000547.48,1270357.62,946350.5,493175.25,333234.53,813163.98,-60265938.67
2025,6,Six Flags,54361306.31,13122085.78,318477.73,8818200.86,5837133.63,2787684.02,1186018.93,1000000.0,520000.0,350000.0,1435786.68,-63503447.42
2025,7,Aquarabia,29937069.11,7908939.65,279499.35,3791338.2,3869684.41,1053226.61,710747.35,745488.21,392744.1,270465.06,0.0,-34874490.57
2025,7,Six Flags,35824461.04,10456372.79,238113.15,5935594.38,4751668.77,1763617.07,1132741.45,782401.25,411200.62,282000.39,0.0,-43330911.81
2025,8,Aquarabia,40170336.24,8091032.76,159298.07,6564393.09,3930634.53,2134993.17,782045.06,791497.39,415748.69,284842.93,0.0,-46645298.39
2025,8,Six Flags,33031774.67,4972826.7,276028.85,6579058.73,1847415.24,2073012.04,1290515.36,796999.96,418499.98,286562.49,0.0,-38146683.88
2025,9,Aquarabia,31875085.89,6757111.85,346007.86,5990108.83,2410660.89,1978886.89,637557.38,805015.79,422507.9,289067.43,1122160.59,-37302457.56
2025,9,Six Flags,38122288.03,9810476.16,347805.86,6593970.56,4061546.84,2028682.99,686214.85,868555.82,454277.91,308923.69,1127690.39,-45338648.12
2025,10,Aquarabia,40745516.31,8824942.15,357325.47,5439122.33,3684115.55,1274617.76,597358.8,906340.45,473170.22,320731.39,0.0,-48110572.09
2025,10,Six Flags,51103419.44,14669569.53,241486.67,8211836.72,7216276.36,2017599.39,1483082.18,942125.05,491062.52,331914.08,0.0,-61744252.78
