date,asset_id,reach,industry_reach,pr_value,total_media_value,share_of_voice,sentiment_positive,sentiment_neutral,sentiment_negative
2025-01-01 00:00:00+00:00,Six Flags,2279,3467,2406,588,0.66,83.5,7.5,9
2025-01-02 00:00:00+00:00,Six Flags,3529,5629,3222,767,0.63,86.1,4.3,9.6
2025-01-03 00:00:00+00:00,Six Flags,3028,4833,2798,744,0.63,82.1,9.6,8.3
2025-01-04 00:00:00+00:00,Six Flags,2452,3505,2494,860,0.7,86.6,4,9.3
2025-01-05 00:00:00+00:00,Six Flags,3133,3963,2698,635,0.79,86.1,5.6,8.3
2025-01-06 00:00:00+00:00,Six Flags,3993,6195,4772,1550,0.64,83.8,6.4,9.8
2025-01-07 00:00:00+00:00,Six Flags,2267,3199,2390,559,0.71,86.4,4.2,9.4
2025-01-08 00:00:00+00:00,Six Flags,3937,5617,3665,1031,0.7,85.2,5.7,9.1
2025-01-09 00:00:00+00:00,Six Flags,3189,4499,2842,722,0.71,85.7,3.9,10.5
2025-01-10 00:00:00+00:00,Six Flags,2605,3864,3031,954,0.67,83.4,5.8,10.8
2025-01-11 00:00:00+00:00,Six Flags,3032,4769,3080,1041,0.64,86,4.5,9.5
2025-01-12 00:00:00+00:00,Six Flags,2304,3617,2669,621,0.64,85,5.6,9.4
2025-01-13 00:00:00+00:00,Six Flags,2899,3938,2808,727,0.74,81.4,8.2,10.4
2025-01-14 00:00:00+00:00,Six Flags,3333,4436,3836,1276,0.75,85.4,5.9,8.6
2025-01-15 00:00:00+00:00,Six Flags,2039,2807,1937,672,0.73,81.6,8.7,9.7
2025-01-16 00:00:00+00:00,Six Flags,2549,3283,3054,706,0.78,86.9,4.6,8.5
2025-01-17 00:00:00+00:00,Six Flags,2271,3109,2428,604,0.73,83.6,6.9,9.5
2025-01-18 00:00:00+00:00,Six Flags,3541,4847,2944,809,0.73,86.6,3.1,10.3
2025-01-19 00:00:00+00:00,Six Flags,2900,4596,2516,676,0.63,83.5,8.3,8.2
2025-01-20 00:00:00+00:00,Six Flags,3142,4097,3246,828,0.77,85.1,6.3,8.6
2025-01-21 00:00:00+00:00,Six Flags,3217,4766,3284,843,0.67,83.6,6.2,10.2
2025-01-22 00:00:00+00:00,Six Flags,2256,3174,2456,813,0.71,82.4,9.7,7.8
2025-01-23 00:00:00+00:00,Six Flags,2993,4350,2589,804,0.69,82.4,6.8,10.8
2025-01-24 00:00:00+00:00,Six Flags,2276,3263,1930,528,0.7,82.2,8.2,9.5
2025-01-25 00:00:00+00:00,Six Flags,3537,4813,3761,995,0.73,85.9,5.3,8.7
2025-01-26 00:00:00+00:00,Six Flags,2869,3994,3372,1144,0.72,83.6,7.7,8.6
2025-01-27 00:00:00+00:00,Six Flags,2980,4020,2616,661,0.74,84.5,5.1,10.5
2025-01-28 00:00:00+00:00,Six Flags,3520,4588,3680,1119,0.77,87,5.8,7.2
2025-01-29 00:00:00+00:00,Six Flags,3861,5109,4441,1269,0.76,86.4,4.2,9.4
2025-01-30 00:00:00+00:00,Six Flags,2538,3570,3043,926,0.71,85.1,6.5,8.3
2025-01-31 00:00:00+00:00,Six Flags,3233,4852,3450,817,0.67,84.8,5.8,9.4
2025-02-01 00:00:00+00:00,Six Flags,3477,4993,3999,1140,0.7,78.6,10,11.4
2025-02-02 00:00:00+00:00,Six Flags,2589,3250,2388,537,0.8,78.6,10.6,10.9
2025-02-03 00:00:00+00:00,Six Flags,3413,4405,3306,1092,0.77,78.4,9.7,11.9
2025-02-04 00:00:00+00:00,Six Flags,3313,5006,3241,808,0.66,80.9,9.4,9.8
2025-02-05 00:00:00+00:00,Six Flags,2762,3478,3296,762,0.79,79,9.4,11.6
2025-02-06 00:00:00+00:00,Six Flags,3290,4263,2718,854,0.77,79.4,8.8,11.7
2025-02-07 00:00:00+00:00,Six Flags,3037,4270,2639,699,0.71,79.3,9.8,10.9
2025-02-08 00:00:00+00:00,Six Flags,2796,3913,3157,767,0.71,76.7,12.8,10.5
2025-02-09 00:00:00+00:00,Six Flags,2595,3350,2874,940,0.77,78.3,10.6,11.1
2025-02-10 00:00:00+00:00,Six Flags,2518,3239,2809,947,0.78,80.1,8.9,11
2025-02-11 00:00:00+00:00,Six Flags,3507,5298,3172,820,0.66,77.3,11.9,10.7
2025-02-12 00:00:00+00:00,Six Flags,2575,3717,3064,1068,0.69,78.4,9.2,12.4
2025-02-13 00:00:00+00:00,Six Flags,2438,3212,2697,875,0.76,79.2,9.1,11.7
2025-02-14 00:00:00+00:00,Six Flags,2516,3991,2024,643,0.63,80,8.9,11.1
2025-02-15 00:00:00+00:00,Six Flags,2354,3684,2536,571,0.64,77.8,11.4,10.8
2025-02-16 00:00:00+00:00,Six Flags,3665,5074,4392,1413,0.72,78.7,11.7,9.6
2025-02-17 00:00:00+00:00,Six Flags,3440,4525,3553,786,0.76,80.2,8.4,11.4
2025-02-18 00:00:00+00:00,Six Flags,3597,4783,4106,1333,0.75,77.9,12.4,9.7
2025-02-19 00:00:00+00:00,Six Flags,3260,4760,3301,1018,0.68,80.7,8.5,10.8
2025-02-20 00:00:00+00:00,Six Flags,3129,4765,3370,1071,0.66,81.3,7.7,11
2025-02-21 00:00:00+00:00,Six Flags,3460,4661,3955,1209,0.74,81.4,6.6,12.1
2025-02-22 00:00:00+00:00,Six Flags,3370,5038,3500,995,0.67,79.4,8.8,11.9
2025-02-23 00:00:00+00:00,Six Flags,3987,5247,4398,1200,0.76,80.2,9.7,10.1
2025-02-24 00:00:00+00:00,Six Flags,3028,4491,2717,653,0.67,78.1,10.8,11.1
2025-02-25 00:00:00+00:00,Six Flags,3231,4757,3507,936,0.68,78.7,10.2,11.1
2025-02-26 00:00:00+00:00,Six Flags,3894,5502,3449,832,0.71,79.5,9.4,11.1
2025-02-27 00:00:00+00:00,Six Flags,3116,4790,2747,914,0.65,77.5,12.4,10.2
2025-02-28 00:00:00+00:00,Six Flags,2724,3861,2973,658,0.71,78.8,8.6,12.6
2025-03-01 00:00:00+00:00,Six Flags,3212,4706,2892,778,0.68,86.2,4.3,9.5
2025-03-02 00:00:00+00:00,Six Flags,2619,4104,3072,829,0.64,86.1,4.5,9.4
2025-03-03 00:00:00+00:00,Six Flags,2900,4107,2584,605,0.71,81.9,7.8,10.3
2025-03-04 00:00:00+00:00,Six Flags,2078,3296,1666,483,0.63,85,4.4,10.5
2025-03-05 00:00:00+00:00,Six Flags,3025,4084,3260,1052,0.74,86.3,4.5,9.2
2025-03-06 00:00:00+00:00,Six Flags,2157,3013,1775,409,0.72,83.4,8.5,8.2
2025-03-07 00:00:00+00:00,Six Flags,2078,2858,2006,481,0.73,84.4,7.9,7.7
2025-03-08 00:00:00+00:00,Six Flags,2724,4019,2776,958,0.68,82.1,9.1,8.8
2025-03-09 00:00:00+00:00,Six Flags,2513,3349,2394,619,0.75,86.5,5,8.5
2025-03-10 00:00:00+00:00,Six Flags,2613,3414,2746,790,0.77,81.5,10.3,8.3
2025-03-11 00:00:00+00:00,Six Flags,2569,3613,2318,789,0.71,85.7,5.5,8.8
2025-03-12 00:00:00+00:00,Six Flags,3615,5612,4258,942,0.64,85.5,5.2,9.3
2025-03-13 00:00:00+00:00,Six Flags,3654,5309,4020,1267,0.69,83.5,8.2,8.3
2025-03-14 00:00:00+00:00,Six Flags,2831,3574,2390,527,0.79,86.1,3.2,10.7
2025-03-15 00:00:00+00:00,Six Flags,2703,3961,2532,865,0.68,82.9,8,9.1
2025-03-16 00:00:00+00:00,Six Flags,2191,3032,2381,757,0.72,87.3,3.7,9
2025-03-17 00:00:00+00:00,Six Flags,3942,5682,4441,1076,0.69,85.1,4.5,10.4
2025-03-18 00:00:00+00:00,Six Flags,2203,2972,2414,570,0.74,86.3,4.7,9
2025-03-19 00:00:00+00:00,Six Flags,3337,4906,3396,1161,0.68,85.3,5.5,9.2
2025-03-20 00:00:00+00:00,Six Flags,2090,3106,2460,775,0.67,85.4,5.7,8.9
2025-03-21 00:00:00+00:00,Six Flags,3003,4469,3228,793,0.67,86.7,3.9,9.4
2025-03-22 00:00:00+00:00,Six Flags,2535,3216,2707,773,0.79,86.8,4.9,8.2
2025-03-23 00:00:00+00:00,Six Flags,2343,3304,2054,630,0.71,84.4,7.7,7.9
2025-03-24 00:00:00+00:00,Six Flags,3432,5198,4042,1260,0.66,84.9,5.5,9.6
2025-03-25 00:00:00+00:00,Six Flags,3623,5775,4028,1292,0.63,86,3.5,10.4
2025-03-26 00:00:00+00:00,Six Flags,2921,4087,3314,1093,0.71,82.6,8.5,8.9
2025-03-27 00:00:00+00:00,Six Flags,2022,2896,2087,513,0.7,86.3,6.1,7.6
2025-03-28 00:00:00+00:00,Six Flags,3189,4569,2877,821,0.7,85.4,6.9,7.7
2025-03-29 00:00:00+00:00,Six Flags,3644,5529,3059,1063,0.66,85.9,5,9
2025-03-30 00:00:00+00:00,Six Flags,3590,5632,3840,1031,0.64,85.6,4.4,10
2025-03-31 00:00:00+00:00,Six Flags,3381,4656,3811,1107,0.73,82.7,9.2,8.1
2025-04-01 00:00:00+00:00,Six Flags,3522,4687,3185,1008,0.75,78.1,11.7,10.2
2025-04-02 00:00:00+00:00,Six Flags,3202,5025,3525,1173,0.64,77,12.3,10.7
2025-04-03 00:00:00+00:00,Six Flags,3966,5013,3832,1304,0.79,80.6,6.8,12.6
2025-04-04 00:00:00+00:00,Six Flags,3270,5210,2782,694,0.63,80.4,7.7,11.9
2025-04-05 00:00:00+00:00,Six Flags,3982,4995,3828,1219,0.8,79.2,9.1,11.7
2025-04-06 00:00:00+00:00,Six Flags,3386,4396,2973,814,0.77,79.6,9.6,10.8
2025-04-07 00:00:00+00:00,Six Flags,3497,4860,3742,1095,0.72,78.3,9.2,12.5
2025-04-08 00:00:00+00:00,Six Flags,3268,4630,3523,1157,0.71,79.5,7.8,12.7
2025-04-09 00:00:00+00:00,Six Flags,2765,4347,2977,850,0.64,77.5,12,10.5
2025-04-10 00:00:00+00:00,Six Flags,3920,5267,4508,1102,0.74,78,11.7,10.3
2025-04-11 00:00:00+00:00,Six Flags,3389,5227,3395,1120,0.65,79.5,8.9,11.6
2025-04-12 00:00:00+00:00,Six Flags,3901,6195,3696,1275,0.63,79.4,10.8,9.8
2025-04-13 00:00:00+00:00,Six Flags,3509,4430,3706,1116,0.79,77.3,9.8,12.9
2025-04-14 00:00:00+00:00,Six Flags,2080,3248,2080,707,0.64,80.6,7.3,12.1
2025-04-15 00:00:00+00:00,Six Flags,2723,3488,2484,614,0.78,81.3,6.8,11.9
2025-04-16 00:00:00+00:00,Six Flags,2067,2788,2195,684,0.74,78,8.9,13.1
2025-04-17 00:00:00+00:00,Six Flags,2815,3632,2359,761,0.77,80,9.4,10.6
2025-04-18 00:00:00+00:00,Six Flags,3434,4582,3877,921,0.75,78.6,9.8,11.7
2025-04-19 00:00:00+00:00,Six Flags,3013,4494,2469,767,0.67,79,9.7,11.3
2025-04-20 00:00:00+00:00,Six Flags,3383,4987,3230,760,0.68,81.2,8.5,10.3
2025-04-21 00:00:00+00:00,Six Flags,3535,4758,3938,1377,0.74,78.5,11.3,10.2
2025-04-22 00:00:00+00:00,Six Flags,3497,4544,3303,953,0.77,79.9,8,12.1
2025-04-23 00:00:00+00:00,Six Flags,3095,4939,3243,1086,0.63,80.3,7.6,12.1
2025-04-24 00:00:00+00:00,Six Flags,3490,5124,3042,691,0.68,77.3,11.7,11
2025-04-25 00:00:00+00:00,Six Flags,3980,5960,4460,1158,0.67,78.5,9.7,11.8
2025-04-26 00:00:00+00:00,Six Flags,2786,3808,2686,929,0.73,78.9,9.5,11.5
2025-04-27 00:00:00+00:00,Six Flags,2842,4320,2530,666,0.66,79.2,9.9,10.9
2025-04-28 00:00:00+00:00,Six Flags,3631,5343,3847,1340,0.68,77.8,11.3,10.9
2025-04-29 00:00:00+00:00,Six Flags,3163,4751,2605,610,0.67,81.1,8.1,10.8
2025-04-30 00:00:00+00:00,Six Flags,2441,3613,2801,917,0.68,79.7,9.8,10.6
2025-05-01 00:00:00+00:00,Six Flags,2471,3537,2251,636,0.7,81.9,8.8,9.2
2025-05-02 00:00:00+00:00,Six Flags,3575,5235,3405,771,0.68,80.4,9.6,10
2025-05-03 00:00:00+00:00,Six Flags,2515,3469,2324,782,0.72,79.6,10.1,10.3
2025-05-04 00:00:00+00:00,Six Flags,2541,4053,2675,706,0.63,78.9,10.1,11
2025-05-05 00:00:00+00:00,Six Flags,3761,5515,3052,690,0.68,78.2,8.5,13.2
2025-05-06 00:00:00+00:00,Six Flags,3885,4898,4645,1172,0.79,80.7,8.5,10.7
2025-05-07 00:00:00+00:00,Six Flags,2427,3077,2853,758,0.79,80.4,9.2,10.3
2025-05-08 00:00:00+00:00,Six Flags,2234,3514,2097,626,0.64,78.6,11.8,9.7
2025-05-09 00:00:00+00:00,Six Flags,2621,3394,2601,793,0.77,80.2,9.9,9.9
2025-05-10 00:00:00+00:00,Six Flags,2628,3826,2777,679,0.69,78.4,11.7,9.9
2025-05-11 00:00:00+00:00,Six Flags,3846,5648,4342,1119,0.68,80.6,7.8,11.7
2025-05-12 00:00:00+00:00,Six Flags,2968,4194,2389,742,0.71,81,8.5,10.5
2025-05-13 00:00:00+00:00,Six Flags,2538,3828,2037,604,0.66,80.3,7.9,11.8
2025-05-14 00:00:00+00:00,Six Flags,3444,5369,2883,926,0.64,77.6,11.1,11.3
2025-05-15 00:00:00+00:00,Six Flags,2684,3450,2588,703,0.78,80.1,9.2,10.7
2025-05-16 00:00:00+00:00,Six Flags,3896,4929,4670,1290,0.79,78.4,11.2,10.4
2025-05-17 00:00:00+00:00,Six Flags,2348,3737,2459,767,0.63,76.9,12,11.1
2025-05-18 00:00:00+00:00,Six Flags,2973,4118,3161,761,0.72,78,9.9,12.1
2025-05-19 00:00:00+00:00,Six Flags,3876,5627,3651,1202,0.69,80.1,10,9.9
2025-05-20 00:00:00+00:00,Six Flags,2390,3522,1996,510,0.68,78.8,10.7,10.5
2025-05-21 00:00:00+00:00,Six Flags,3565,5514,4071,915,0.65,79.7,9.5,10.8
2025-05-22 00:00:00+00:00,Six Flags,3826,5910,4091,1315,0.65,81.1,7.2,11.7
2025-05-23 00:00:00+00:00,Six Flags,3001,3952,2840,636,0.76,78.8,9.5,11.7
2025-05-24 00:00:00+00:00,Six Flags,3790,5209,4535,1377,0.73,80.3,9.2,10.5
2025-05-25 00:00:00+00:00,Six Flags,3107,4603,3517,839,0.67,79.6,8.7,11.8
2025-05-26 00:00:00+00:00,Six Flags,3416,4872,4083,1276,0.7,80.4,7.9,11.7
2025-05-27 00:00:00+00:00,Six Flags,2493,3597,2972,1024,0.69,79.3,9.5,11.1
2025-05-28 00:00:00+00:00,Six Flags,3474,4760,2877,757,0.73,78,11.6,10.4
2025-05-29 00:00:00+00:00,Six Flags,3169,4397,3220,1007,0.72,79.9,9.8,10.2
2025-05-30 00:00:00+00:00,Six Flags,2975,4048,2460,795,0.73,80,7.8,12.3
2025-05-31 00:00:00+00:00,Six Flags,3044,4534,2882,756,0.67,80.8,8,11.2
2025-06-01 00:00:00+00:00,Six Flags,2118,3316,2529,653,0.64,82.1,7.4,10.5
2025-06-02 00:00:00+00:00,Six Flags,3112,4423,2823,712,0.7,82,10.1,7.9
2025-06-03 00:00:00+00:00,Six Flags,3553,5122,2885,1005,0.69,81.4,8.2,10.4
2025-06-04 00:00:00+00:00,Six Flags,2126,2893,2146,586,0.73,82.8,8.3,9
2025-06-05 00:00:00+00:00,Six Flags,3042,4613,3042,1019,0.66,83.4,9,7.5
2025-06-06 00:00:00+00:00,Six Flags,2260,3302,1842,435,0.68,85.4,5.9,8.7
2025-06-07 00:00:00+00:00,Six Flags,2721,3554,3264,1043,0.77,84.5,6.8,8.7
2025-06-08 00:00:00+00:00,Six Flags,2383,3122,1983,548,0.76,83.2,6.8,10
2025-06-09 00:00:00+00:00,Six Flags,3388,4710,3943,1175,0.72,84.2,6.7,9.1
2025-06-10 00:00:00+00:00,Six Flags,2465,3115,2666,618,0.79,85.1,6.6,8.3
