asset_id,date,ride_id,ride_name,tickets_sold,attendance,capacity,operational_hours,scheduled_maintenance_hours,uptime,downtime
Aquarabia,2025-01-01 00:00:00+00:00,SST,Sea Stallion,6464,6334,7000,9,3,6,3
Six Flags,2025-01-01 00:00:00+00:00,KCB,Kiddie Carousel Bay,2719,2529,3000,10,4,6,4
Six Flags,2025-01-01 00:00:00+00:00,ELT,Electric Light Tour,3137,2975,3500,10,2,8,2
Six Flags,2025-01-01 00:00:00+00:00,MLP,Magic Lantern Parade,3963,4081,4000,9,2,7,2
Six Flags,2025-01-01 00:00:00+00:00,GDC,Grand Canyon Coaster,5078,4955,5200,9,3,6,3
Six Flags,2025-01-01 00:00:00+00:00,HRA,High Roller Adventure,5959,6061,6000,8,1,7,1
Six Flags,2025-01-01 00:00:00+00:00,TWE,Twilight Express,6868,6811,7800,6,1,5,1
Six Flags,2025-01-01 00:00:00+00:00,IRMT,Iron Rattler Mine Town,4271,4136,4500,9,2,7,2
Six Flags,2025-01-01 00:00:00+00:00,SRT,Siroccos Tower,7837,7770,8000,10,4,6,4
Six Flags,2025-01-01 00:00:00+00:00,FLF,Falcons Flight,8125,8057,9000,10,3,7,3
Six Flags,2025-01-01 00:00:00+00:00,SKW,Skywatch,5678,5577,6500,7,4,3,4
Aquarabia,2025-01-01 00:00:00+00:00,AQL,Aqua Lake Raft,3406,3333,3800,7,1,6,1
Aquarabia,2025-01-01 00:00:00+00:00,FJT,Fun Jet Tubes,3838,3727,4200,10,3,7,3
Aquarabia,2025-01-01 00:00:00+00:00,SMW,Splash Mountain Wave,4769,4648,4800,6,2,4,2
Aquarabia,2025-01-01 00:00:00+00:00,RDL,Rapid Downstream Loop,4679,4557,5000,6,4,2,4
Aquarabia,2025-01-01 00:00:00+00:00,WTR4,Aqua Loop,4551,4457,5500,9,3,6,3
Aquarabia,2025-01-01 00:00:00+00:00,WTR3,Splash Zone,7157,7021,8000,10,2,8,2
Aquarabia,2025-01-01 00:00:00+00:00,WTR2,Lazy River,4227,4156,5000,6,3,3,3
Aquarabia,2025-01-01 00:00:00+00:00,WTR1,Wave Pool,5524,5357,6000,8,2,6,2
Aquarabia,2025-01-01 00:00:00+00:00,DRD,Dizzy Rapids Drop,3274,3201,3600,10,2,8,2
Six Flags,2025-01-02 00:00:00+00:00,IRMT,Iron Rattler Mine Town,3185,3107,4500,9,4,5,4
Six Flags,2025-01-02 00:00:00+00:00,TWE,Twilight Express,5610,5545,7800,7,2,5,2
Six Flags,2025-01-02 00:00:00+00:00,SKW,Skywatch,4478,4380,6500,7,2,5,2
Six Flags,2025-01-02 00:00:00+00:00,HRA,High Roller Adventure,3837,3704,6000,6,4,2,4
Six Flags,2025-01-02 00:00:00+00:00,KCB,Kiddie Carousel Bay,1999,1881,3000,8,2,6,2
Six Flags,2025-01-02 00:00:00+00:00,MLP,Magic Lantern Parade,2793,2661,4000,9,1,8,1
Six Flags,2025-01-02 00:00:00+00:00,ELT,Electric Light Tour,2541,2343,3500,8,1,7,1
Six Flags,2025-01-02 00:00:00+00:00,SRT,Siroccos Tower,5207,5012,8000,8,1,7,1
Six Flags,2025-01-02 00:00:00+00:00,GDC,Grand Canyon Coaster,3338,3247,5200,10,4,6,4
Six Flags,2025-01-02 00:00:00+00:00,FLF,Falcons Flight,5768,5581,9000,10,4,6,4
Aquarabia,2025-01-02 00:00:00+00:00,WTR4,Aqua Loop,5452,5411,5500,6,4,2,4
Aquarabia,2025-01-02 00:00:00+00:00,AQL,Aqua Lake Raft,3318,3151,3800,9,4,5,4
Aquarabia,2025-01-02 00:00:00+00:00,FJT,Fun Jet Tubes,4110,3954,4200,7,2,5,2
Aquarabia,2025-01-02 00:00:00+00:00,SMW,Splash Mountain Wave,4590,4511,4800,9,1,8,1
Aquarabia,2025-01-02 00:00:00+00:00,RDL,Rapid Downstream Loop,4695,4555,5000,6,1,5,1
Aquarabia,2025-01-02 00:00:00+00:00,WTR3,Splash Zone,7956,7955,8000,8,1,7,1
Aquarabia,2025-01-02 00:00:00+00:00,WTR2,Lazy River,4649,4515,5000,8,2,6,2
